"","y","Age","DailyRate","DistanceFromHome","HourlyRate","MonthlyIncome","MonthlyRate","NumCompaniesWorked","PercentSalaryHike","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","BusinessTravelTravel_Frequently","BusinessTravelTravel_Rarely","DepartmentResearchDevelopment","Education2","Education3","Education4","EducationFieldLifeSciences","EducationFieldMarketing","EducationFieldMedical","EducationFieldOther","EducationFieldTechnicalDegree","EnvironmentSatisfaction1","EnvironmentSatisfaction2","EnvironmentSatisfaction3","GenderMale","JobInvolvement1","JobInvolvement2","JobInvolvement3","JobLevel1","JobLevel2","JobLevel3","JobLevel4","JobRoleHealthcareRepresentative","JobRoleLaboratoryTechnician","JobRoleManager","JobRoleManufacturingDirector","JobRoleResearchDirector","JobRoleResearchScientist","JobRoleSalesExecutive","JobRoleSalesRepresentative","JobSatisfaction1","JobSatisfaction2","JobSatisfaction3","MaritalStatusMarried","MaritalStatusSingle","OverTimeNo","PerformanceRating3","RelationshipSatisfaction1","RelationshipSatisfaction2","RelationshipSatisfaction3","StockOptionLevel0","StockOptionLevel1","StockOptionLevel2","WorkLifeBalance1","WorkLifeBalance2","WorkLifeBalance3"
"11",0,35,0.0161440862552974,0.839718370427884,0.890769966526898,-0.865966167564148,0.304293580227375,-1.0781375376816,-0.603705303382279,-0.678542601105081,1.70691880867525,-0.327781771126538,-0.0632743665189888,-0.67891464284095,-0.314766369263561,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1
"12",0,29,-1.60959372261149,0.716366116552697,-0.8308722114524,-0.490644115683023,-0.229158813044367,-1.0781375376816,-0.876933996723397,-0.164455435211784,0.155654110837465,0.325116878678354,0.212729546783426,-0.67891464284095,1.08652546240644,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1
"13",0,31,-0.328333894586902,2.07324090917975,-1.7162881886989,-0.762949079187043,0.120388080413651,-0.677818724751071,0.489209469982192,-0.807064392578405,-1.39561058700032,-0.327781771126538,-0.615282193123818,0.562384517577205,-0.314766369263561,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0
"14",0,34,1.34696909137948,1.20977513205344,1.33347795515015,-0.816050671134005,-0.780453833112399,-1.0781375376816,-1.15016269006451,-1.06410797552505,-0.619978238081427,-0.817455758480207,-0.615282193123818,-0.368589852736411,-0.595024735597561,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1
"15",1,28,-1.73350666536048,1.82653640142937,-0.781682434938705,-0.950503901943711,-0.191928135083605,0.923456526971025,-0.330476610041161,-0.678542601105081,0.931286459756357,-0.491006433577761,-0.615282193123818,-0.67891464284095,-0.314766369263561,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
"16",0,29,1.45353422214361,1.45647963980381,-0.732492658425011,0.738551534705245,-0.578565213378005,-0.677818724751071,-1.15016269006451,-0.164455435211784,-1.39561058700032,0.488341541129577,1.31674519999308,1.80368367799536,1.08652546240644,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1
"17",0,32,-1.16102886986013,-0.517156422199165,0.694010860472122,-0.680747814853146,0.103950384861164,-1.0781375376816,-0.876933996723397,-0.550020809631756,1.70691880867525,-0.164557108675315,-0.615282193123818,-0.67891464284095,0.24575036340444,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"18",0,22,0.794317366718972,0.839718370427884,1.48104728469123,-0.757851326360135,-0.981920973473652,-0.677818724751071,-0.603705303382279,-1.3211515584717,-0.619978238081427,-0.98068042093143,-1.16729001972865,-0.67891464284095,-1.15554146826556,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
"19",0,53,1.03223021679704,-0.887213183824724,0.595631307444733,1.89552902004565,1.08290647554262,-0.277499911820547,0.215980776641074,2.53450218572802,0.155654110837465,2.93671147789792,1.04074128669067,0.252059727472666,0.80626709607244,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1
"20",0,38,-1.06933329222588,-0.887213183824724,-1.02763131750718,-0.543533301262197,-1.40592922285319,0.923456526971025,-1.15016269006451,-0.678542601105081,0.155654110837465,-0.654231096028984,-0.615282193123818,-0.368589852736411,-0.595024735597561,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1
"21",0,24,-0.320899118021963,0.222957101051952,1.48104728469123,-0.529302074620412,-0.854353216536401,-1.0781375376816,0.76243816332331,-0.807064392578405,1.70691880867525,-0.491006433577761,-0.615282193123818,-0.368589852736411,-0.314766369263561,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0
"22",1,36,1.02975195794206,-0.0237474066984202,0.79239041349951,-0.657595520764271,-1.02940764951417,1.72409415283207,2.1285816300289,-0.164455435211784,0.931286459756357,-0.327781771126538,-0.339278279821404,-0.67891464284095,-0.314766369263561,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1
"23",0,34,-0.950376867186846,-0.270451914448793,-0.634113105397623,1.16633795942997,0.980627480993814,-1.0781375376816,-1.15016269006451,0.221109939208188,0.931286459756357,0.814790866032023,0.488733460085841,-0.0582650626318726,1.92730056140844,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1
"24",0,21,-1.01976811512628,0.716366116552697,1.48104728469123,-1.11957937070284,0.697955314740786,-0.677818724751071,-0.330476610041161,-1.44967334994503,2.48255115759414,-1.14390508338265,-1.16729001972865,-0.67891464284095,-1.15554146826556,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1
"25",1,34,-0.256464387792487,-0.393804168323979,0.841580190013204,-0.752541167165438,0.39182079671626,-0.277499911820547,-1.15016269006451,-0.421499018158432,-0.619978238081427,-0.491006433577761,-0.615282193123818,-0.368589852736411,-0.314766369263561,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
"26",0,53,1.18836052466077,-0.517156422199165,-0.388164222829152,2.67442317072368,-0.502698926212679,0.523137714040501,-1.15016269006451,1.8918932283614,0.155654110837465,1.14124019093447,2.42076085320274,0.562384517577205,1.08652546240644,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0
"27",1,32,0.799273884428931,0.839718370427884,0.300492648362568,-0.548843460456893,-1.35324430121061,-0.677818724751071,1.85535293668778,-0.164455435211784,1.70691880867525,0.488341541129577,-0.615282193123818,1.18303409778628,0.80626709607244,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
"28",0,42,-0.276290458632325,-0.147099660573606,-0.880061987966094,0.068409444334589,0.963768306068186,-1.0781375376816,-1.15016269006451,-0.164455435211784,-0.619978238081427,0.325116878678354,0.764737373388255,0.562384517577205,-0.595024735597561,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1
"29",0,44,-0.806637853598014,-0.270451914448793,-1.17520064704826,0.795476441272388,-1.71670001398227,0.122818901109977,-0.330476610041161,1.63484964541475,0.931286459756357,2.44703749054425,0.488733460085841,0.872709307681744,3.60885075941244,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
"30",0,46,-0.241594834662608,-0.887213183824724,0.841580190013204,2.64319943465887,1.19544146817119,0.122818901109977,-0.876933996723397,1.37780606246811,-0.619978238081427,-0.817455758480207,-0.615282193123818,-0.0582650626318726,-0.875283101931561,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0
"31",0,33,0.301143854577981,-0.887213183824724,0.595631307444733,-0.851097721818999,-1.07380347681832,0.523137714040501,-1.15016269006451,-0.550020809631756,0.155654110837465,-0.98068042093143,-0.891286106426233,-0.67891464284095,-1.15554146826556,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1
"32",0,44,1.6270123419922,0.0996048471767661,-1.22439042356195,-0.00805684806903579,0.675476414839949,-0.277499911820547,-0.603705303382279,-0.292977226685108,1.70691880867525,-0.491006433577761,-0.615282193123818,-0.368589852736411,-0.314766369263561,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"33",0,30,-1.67898497055092,-0.0237474066984202,0.841580190013204,-0.912695568477475,0.253435069201731,-0.677818724751071,-0.603705303382279,-0.164455435211784,1.70691880867525,0.488341541129577,-1.16729001972865,-0.368589852736411,1.08652546240644,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1
"34",1,39,0.229274347783565,-0.517156422199165,-0.48654377585654,-0.938184332612016,-1.5423480466264,0.122818901109977,-0.330476610041161,0.992240688048133,2.48255115759414,-0.98068042093143,-1.16729001972865,-0.67891464284095,-1.15554146826556,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0
"35",1,24,0.0260571216752168,-1.01056543769991,-0.240594893288069,-0.894216214479932,-1.58660338080617,-0.277499911820547,0.215980776641074,-0.678542601105081,-0.619978238081427,-0.817455758480207,-1.16729001972865,-0.0582650626318726,-1.15554146826556,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0
"36",0,43,1.16605619496595,-0.887213183824724,0.300492648362568,-0.81944917301861,1.06913814935336,-0.677818724751071,-0.876933996723397,-0.678542601105081,0.155654110837465,-0.327781771126538,-0.339278279821404,-0.368589852736411,-0.0345080029295606,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0
"37",1,50,0.164839617554089,-0.763860929949538,0.989149519554287,-0.811377731042672,-1.47561381254579,-0.677818724751071,-0.330476610041161,-1.06410797552505,-0.619978238081427,-0.654231096028984,-0.615282193123818,-0.67891464284095,-0.595024735597561,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1
"38",0,35,0.216883053508666,-0.887213183824724,1.53023706120492,-0.953477591092741,-0.649935720563163,-0.677818724751071,-0.603705303382279,-1.19262976699838,0.155654110837465,-0.817455758480207,-0.615282193123818,-0.0582650626318726,-0.595024735597561,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1
"39",0,36,0.122709217019431,-0.517156422199165,0.79239041349951,-0.655046644350817,-0.174366494536076,2.52473177869312,-0.330476610041161,-0.678542601105081,0.155654110837465,-0.98068042093143,-0.891286106426233,-0.67891464284095,-1.15554146826556,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"40",0,33,0.838926026108609,-1.01056543769991,-1.17520064704826,-0.239367382590001,-1.56229807028839,-0.277499911820547,1.03566685666443,-0.164455435211784,0.155654110837465,-0.327781771126538,-0.339278279821404,-0.368589852736411,-0.314766369263561,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1
"41",0,35,-0.838855218712752,-0.640508676074351,0.44806197790365,-0.966859192263376,-0.478112629446139,-0.677818724751071,-0.876933996723397,-1.3211515584717,0.155654110837465,-0.98068042093143,-1.16729001972865,-0.67891464284095,-1.15554146826556,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1
"42",0,27,1.08427365275161,-0.887213183824724,-1.61790863567151,-0.884020708826115,0.758929330721807,-0.677818724751071,-0.603705303382279,-1.3211515584717,2.48255115759414,-0.98068042093143,-1.16729001972865,-0.67891464284095,-1.15554146826556,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
"43",1,26,1.37422993878426,1.94988865530456,-0.880061987966094,-0.894216214479932,-0.52756620922798,-0.677818724751071,-0.876933996723397,-1.3211515584717,-0.619978238081427,-0.98068042093143,-1.16729001972865,-0.67891464284095,-0.875283101931561,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0
"44",0,27,0.474621974426571,-0.147099660573606,-1.42114952961673,0.472193949499286,-1.59292557140328,-0.677818724751071,-0.0572479167000435,-0.292977226685108,-2.17124293591921,0.325116878678354,1.04074128669067,-0.368589852736411,0.80626709607244,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1
"45",0,30,-0.20194269298293,-1.01056543769991,-0.388164222829152,-0.529302074620412,-0.496236242491189,-0.677818724751071,2.1285816300289,0.0925881477348641,-0.619978238081427,0.814790866032023,1.04074128669067,0.252059727472666,0.80626709607244,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
"46",1,41,1.3816647153492,0.346309354927139,-0.8308722114524,2.770218442596,0.276335448475709,-0.677818724751071,-0.876933996723397,1.50632785394143,-2.17124293591921,2.44703749054425,2.97276867980757,3.97595720872713,1.08652546240644,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1
"47",0,34,0.65057835313014,1.70318414755419,0.300492648362568,-0.410991727762581,-0.601184606403222,-1.0781375376816,1.30889555000555,-0.164455435211784,-0.619978238081427,0.325116878678354,0.212729546783426,1.80368367799536,0.80626709607244,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1
"48",0,37,-0.977637714591624,1.20977513205344,0.349682424876262,-0.739371972362592,-0.574069433397837,0.523137714040501,1.58212424334666,-0.421499018158432,-1.39561058700032,-0.98068042093143,-1.16729001972865,-0.67891464284095,-1.15554146826556,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1
"49",0,46,1.0124041459572,-0.517156422199165,1.57942683771862,-0.155254460946014,0.861489311519377,0.523137714040501,1.58212424334666,0.349631730681512,0.931286459756357,0.325116878678354,0.488733460085841,-0.67891464284095,1.08652546240644,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
"50",0,35,1.05701280534684,-0.147099660573606,-1.47033930613042,-0.89931396730684,-1.32360025196638,-0.677818724751071,1.03566685666443,-1.3211515584717,-0.619978238081427,-0.98068042093143,-1.16729001972865,-0.67891464284095,-0.875283101931561,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
"51",1,48,-0.437377284206016,-1.01056543769991,1.57942683771862,-0.238305350751062,0.699781725357729,2.52473177869312,-0.603705303382279,1.50632785394143,-0.619978238081427,-0.98068042093143,-1.16729001972865,-0.67891464284095,-1.15554146826556,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1
"52",1,28,1.56505587061771,-0.517156422199165,-0.781682434938705,-0.650373704259484,-0.440319978987856,-0.677818724751071,-0.603705303382279,-1.19262976699838,0.155654110837465,-0.817455758480207,-0.615282193123818,-0.0582650626318726,-0.595024735597561,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0
"53",0,44,1.69888184878662,-1.01056543769991,0.44806197790365,-0.222799685902549,-1.44765568079412,0.923456526971025,1.58212424334666,-0.292977226685108,-0.619978238081427,-0.491006433577761,-0.339278279821404,-0.368589852736411,-0.314766369263561,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"54",0,35,0.729882636489496,0.222957101051952,0.644821083958427,0.718160523397612,-0.844518697829785,-0.277499911820547,-0.603705303382279,-0.164455435211784,0.155654110837465,-0.491006433577761,-1.16729001972865,-0.0582650626318726,-0.314766369263561,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
"55",0,26,1.58736020031253,1.70318414755419,-0.929251764479788,-0.498290744923386,1.00071799778019,1.72409415283207,1.03566685666443,-0.807064392578405,-0.619978238081427,-0.817455758480207,-0.615282193123818,-0.67891464284095,-1.15554146826556,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
"56",0,33,-0.71246401710878,-1.01056543769991,1.57942683771862,1.47730088187138,0.117016245428526,-0.677818724751071,-0.876933996723397,0.478153522154836,-1.39561058700032,1.30446485338569,2.69676476650516,1.80368367799536,2.20755892774244,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1
"57",0,35,0.125187475874411,1.08642287817826,0.251302871848873,0.545049333650517,-0.46111296139613,-0.677818724751071,1.85535293668778,-0.292977226685108,0.155654110837465,0.325116878678354,1.04074128669067,-0.368589852736411,1.08652546240644,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
"58",0,35,0.841404284963589,1.70318414755419,-1.76547796521259,-0.528664855517048,0.237278359898004,0.122818901109977,-0.0572479167000435,-0.935586184051729,0.155654110837465,-0.817455758480207,-0.615282193123818,-0.0582650626318726,-0.595024735597561,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
"59",0,31,-0.3655077774116,-0.270451914448793,-0.880061987966094,-0.124880350352351,-0.67227412733962,0.122818901109977,1.85535293668778,-0.164455435211784,0.155654110837465,-0.00133244622409163,0.764737373388255,-0.368589852736411,0.80626709607244,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"60",0,37,0.774491295879133,-1.01056543769991,-0.732492658425011,-0.108312653664899,-1.63310660497603,-0.677818724751071,0.76243816332331,-0.550020809631756,-0.619978238081427,-0.00133244622409163,0.212729546783426,-0.67891464284095,0.80626709607244,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0
